"","qbtag","total_path_distance","displacement","mvmt_index","displacement_bearing","treat_id","starting_quad","alt_index","m_total_path","m_displacement"
"66",70,30.431827674981,18,1.6906570930545,342,"Absence","SW",0.591485999205969,9.27562107533421,5.4864
"67",71,27.1591612142134,26.2763117405629,1.03359868319295,245.90063469294,"Absence","SW",0.967493492649234,8.27811233809224,8.00901981852358
"68",72,0,0,NA,NA,"Presence","NE",NA,0,0
"69",73,2,2,1,225,"Presence","NE",1,0.609599999999999,0.609599999999999
"70",74,21.8946668633293,17,1.28792158019584,316,"Absence","NW",0.776444789323229,6.67349445994278,5.1816
"71",75,53.9389128878509,18.2126626880735,2.96161598178463,205.127976731165,"Absence","NW",0.337653499356596,16.440580648217,5.55121958732479
"72",76,0,0,NA,NA,"Presence","SW",NA,0,0
"73",77,0,0,NA,NA,"Presence","SW",NA,0,0
"74",78,0,0,NA,NA,"Presence","SW",NA,0,0
"75",79,35.7064937789792,31.3861875862821,1.13764991943734,241.608347828289,"Absence","SW",0.87900502862478,10.8833393038329,9.56650997629879
"76",80,0.999999999999988,0.999999999999988,1,225,"Presence","NE",1,0.304799999999996,0.304799999999996
"77",81,16.2956737537299,13.3099028324977,1.2243270261855,17.6848095919576,"Absence","NE",0.81677523946816,4.96692136013688,4.05685838334531
"78",82,0,0,NA,NA,"Presence","SE",NA,0,0
"79",83,0,0,NA,NA,"Presence","NW",NA,0,0
"80",84,0,0,NA,NA,"Presence","SE",NA,0,0
"81",85,14.5849065328426,4.29813331881243,3.39331180561715,336.726235111316,"Absence","SW",0.294697350931512,4.44547951121044,1.31007103557403
"82",86,34.3682946951335,19.3891955846032,1.77254876537659,327.885859337541,"Absence","SW",0.564159372951042,10.4754562230767,5.90982681418704
"83",87,14.7908029341687,7.11949732731021,2.07750663483383,322,"Absence","NE",0.481346236509124,4.50823673433462,2.17002278536415
"84",88,12.0910926395548,12.0910926395548,1,6.12272096580349,"Presence","NW",1,3.6853650365363,3.6853650365363
"85",90,0,0,NA,NA,"Presence","SE",NA,0,0
"86",91,47.4921314297421,5.40118103187386,8.79291605844682,97.2288753439948,"Absence","NE",0.113727913851669,14.4756016597854,1.64627997851515
"87",92,0,0,NA,NA,"Presence","NW",NA,0,0
"88",94,42.4213588059816,30.3463288984347,1.39790743545819,321.618063557538,"Absence","SW",0.715354947426995,12.9300301640632,9.2495610482429
"89",100,23.5961617310051,15.3372320416785,1.53848893117632,319.474444901821,"Absence","SW",0.649988426784071,7.19211009561035,4.67478832630361
"90",101,0,0,NA,NA,"Presence","NW",NA,0,0
"91",95,0,0,NA,NA,"Presence","SE",NA,0,0
"92",97,0,0,NA,NA,"Presence","SE",NA,0,0
"93",99,0,0,NA,NA,"Presence","SE",NA,0,0
"94",111,10.5668213555865,10.5668213555865,1,148.422896031553,"Absence","NE",1,3.22076714918276,3.22076714918276
"95",112,14.2039966032307,10.5450375881256,1.34698397085139,247.527919384264,"Absence","NE",0.742399331870242,4.32937816466471,3.21412745686069
"96",113,0,0,NA,NA,"Presence","SE",NA,0,0
"97",114,31.3340963209381,21.8097869048275,1.4366988754944,188.506099937414,"Absence","SW",0.69604007983641,9.55063255862192,6.64762304859142
"98",115,34.0810618880484,20.1315263011663,1.69291991964235,266.468857285943,"Absence","SW",0.590695394624019,10.3879076634771,6.1360892165955
"99",117,0,0,NA,NA,"Presence","NW",NA,0,0
"100",118,15.2215001274902,15.1699897675796,1.0033955434842,128.229563493993,"Absence","SW",0.996615947214189,4.63951323885903,4.62381288115826
"101",119,0,0,NA,NA,"Presence","NW",NA,0,0
"102",120,0,0,NA,NA,"Presence","NW",NA,0,0
"103",121,10.5297740882837,10.5297740882837,1,282.196412672528,"Presence","NW",1,3.20947514210886,3.20947514210886
