"","qbtag","total_path_distance","displacement","displacement_bearing","mvmt_index","treat_id","treat_fed","starting_quad","instar","m_total_path","m_displacement","alt_index"
"28",37,22.5741690630701,13.05801807994,21.5440044655287,1.72875921329508,"Absence","Fed","NW",6,6.88060673042378,3.98008391076572,0.578449556369368
"29",38,17.9962278527547,9.28522241366429,316.407978701374,1.93815797306817,"Absence","Fed","SW",5,5.48525024951964,2.83013579168488,0.515953814856983
"30",39,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
"31",40,80.7722951521841,14.6421647816065,45,5.5164175760165,"Absence","Fed","NW",5,24.6193955623857,4.46293182543368,0.181277067266927
"32",41,11,11,40,1,"Presence","Fed","NE",6,3.3528,3.3528,1
"33",42,47.0378456195959,8.79244064881454,43,5.34980530416636,"Absence","Starved","NW",6,14.3371353448528,2.67993590975867,0.186922690293273
"34",43,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"35",44,40.794792675058,40.794792675058,263.596350998197,1,"Absence","Fed","SW",6,12.4342528073577,12.4342528073577,1
"36",44.1,56.9607832577588,56.9607832577588,315.923925819737,1,"Absence","Fed","SW",6,17.3616467369649,17.3616467369649,1
"37",44.2,94.4749427135725,94.4749427135725,317.507734803245,1,"Absence","Fed","SW",6,28.7959625390969,28.7959625390969,1
"38",44.3,51.9202812412052,51.9202812412052,263.352215420761,1,"Absence","Fed","SW",6,15.8253017223194,15.8253017223194,1
"39",44.4,61.9982708181179,58.0617603528292,303.115308898254,1.06779867577847,"Absence","Fed","SW",6,18.8970729453623,17.6972245555423,0.936506124875046
"40",45,0,0,NA,NA,"Presence","Starved","NE",5,0,0,NA
"41",50,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"42",51,29.2843295632131,0,NA,NA,"Absence","Starved","NW",6,8.92586365086735,0,0
"43",52,108.311798511323,101.562267261736,317.637026033327,1.06645707536435,"Absence","Starved","SW",6,33.0134361862512,30.956179061377,0.937684247308646
"44",52.1,55.5870893581211,55.5870893581211,326.341042505666,1,"Absence","Starved","SW",6,16.9429448363553,16.9429448363553,1
"45",52.2,29.1229346916695,24.633926402511,316.716239416235,1.18222869614082,"Absence","Starved","SW",6,8.87667049402085,7.50842076748535,0.845860029674738
"46",53,0,0,NA,NA,"Presence","Starved","NE",6,0,0,NA
"47",46,54.7631470406753,53.6444874738493,313.907900840064,1.02085320634989,"Absence","Starved","NE",5,16.6918072179978,16.3508397820293,0.979572766955939
"48",47,182.855843736268,57.8992534869488,313.246940420988,3.15817273494702,"Absence","Fed","SW",5,55.7344611708144,17.647692462822,0.316638792088355
"49",48,7.99999999999999,0,NA,NA,"Presence","Fed","SE",6,2.4384,0,0
"50",49,0,0,NA,NA,"Presence","Starved","NW",6,0,0,NA
"51",55,96.721261761836,48.8334581070634,130.521521197627,1.98063511188953,"Absence","Starved","SW",5,29.4806405850076,14.8844380310329,0.504888555189754
"52",56,0,0,NA,NA,"Presence","Starved","NW",6,0,0,NA
"53",57,7.99999999999999,0,NA,NA,"Presence","Starved","SE",6,2.4384,0,0
"54",58,0,0,NA,NA,"Presence","Starved","NW",6,0,0,NA
"55",59,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
